0,1,2
0.14583324,0.0,-0.00417
0.23199419858001405,0.05,0.06937
0.27719578714032145,0.1,0.11943
0.31129016748893695,0.15000000000000002,0.15273
0.34044875944224656,0.2,0.17773
0.36866942954103454,0.25,0.20354
0.3916064119570165,0.3,0.22684
0.41701743521849144,0.35,0.25114
0.43834247737517856,0.39999999999999997,0.27044
0.45830220870774424,0.44999999999999996,0.29274
0.4787752229885608,0.49999999999999994,0.31989
0.4972138511702827,0.5499999999999999,0.34348
0.5159444811951344,0.6,0.36096
0.5333889694308327,0.65,0.38506
0.5512847710003093,0.7000000000000001,0.40235
0.5677646671301302,0.7500000000000001,0.41224
0.5836737678900477,0.8000000000000002,0.42911
0.5999137652785453,0.8500000000000002,0.44363
0.6160686723155965,0.9000000000000002,0.46144
0.6315361998664661,0.9500000000000003,0.47861
0.6484037454812313,1.0000000000000002,0.49536
0.6621651401486882,1.0500000000000003,0.51153
0.6767123975239782,1.1000000000000003,0.52639
0.6921990531774512,1.1500000000000004,0.53674
0.7062539412631972,1.2000000000000004,0.55313
0.719340767545244,1.2500000000000004,0.57729
0.7322625245398078,1.3000000000000005,0.60364
0.7487378513987857,1.3500000000000005,0.6205
0.7605433803978086,1.4000000000000006,0.64477
0.7728904555070709,1.4500000000000006,0.66137
0.7871727292592269,1.5000000000000007,0.67916
0.800118367242617,1.5500000000000007,0.6946
0.811456927727038,1.6000000000000008,0.7124
0.823243105287353,1.6500000000000008,0.74289
0.8360718355038106,1.7000000000000008,0.76015
0.8463129327116743,1.7500000000000009,0.77702
0.8585884348255378,1.800000000000001,0.78749
0.8709216704194409,1.850000000000001,0.81226
0.8828054847079458,1.900000000000001,0.82894
0.8944347785210789,1.950000000000001,0.84528
0.9060801451578651,2.000000000000001,0.86163
0.9169038278108768,2.0500000000000007,0.8772
0.9285653933214877,2.1000000000000005,0.88657
0.9401408203808587,2.1500000000000004,0.90943
0.9528380250987125,2.2,0.91953
0.9632559163479175,2.25,0.93726
0.9736917747629925,2.3,0.96028
0.9860662587428924,2.3499999999999996,0.97733
0.9981981294740931,2.3999999999999995,0.99363
1.00891897244998,2.4499999999999993,1.01078
1.0190700134523576,2.499999999999999,1.02696
1.0302245350505543,2.549999999999999,1.03604
1.040892802115089,2.5999999999999988,1.05978
1.0498668034253011,2.6499999999999986,1.07004
1.0607488301248145,2.6999999999999984,1.09554
1.072103270125144,2.7499999999999982,1.10998
1.0818656173303989,2.799999999999998,1.119
1.091540560279949,2.849999999999998,1.14458
1.101232092902876,2.8999999999999977,1.16115
1.1131262832295998,2.9499999999999975,1.18471
1.1247495199186694,2.9999999999999973,1.20151
1.1336054204344692,3.049999999999997,1.22638
1.1426560435105095,3.099999999999997,1.23706
1.1515263807144298,3.149999999999997,1.25216
1.1628231666515576,3.1999999999999966,1.27665
1.1745343078111774,3.2499999999999964,1.2869
1.1850901882825393,3.2999999999999963,1.31037
1.1954470691075392,3.349999999999996,1.32877
1.2062637938516882,3.399999999999996,1.3525
1.2158281166675435,3.4499999999999957,1.36782
1.2254229308571074,3.4999999999999956,1.38673
1.2371495502233532,3.5499999999999954,1.39479
1.247877545153972,3.599999999999995,1.41079
1.257326012411632,3.649999999999995,1.42681
1.26506259761599,3.699999999999995,1.4439
1.27674327059643,3.7499999999999947,1.46086
1.2856062836104605,3.7999999999999945,1.47805
1.2956741160277572,3.8499999999999943,1.49562
1.3078662797856562,3.899999999999994,1.51243
1.316885861463176,3.949999999999994,1.54447
1.32652446678266,3.999999999999994,1.56843
1.3362432955533594,4.049999999999994,1.6031
1.3451925401722598,4.099999999999993,1.63632
1.35437394638962,4.149999999999993,1.65351
1.3659716470645138,4.199999999999993,1.67637
1.3760281362459137,4.249999999999993,1.71024
1.3869002021799137,4.299999999999993,1.74296
1.3963466297396314,4.3499999999999925,1.76778
1.4055435602490265,4.399999999999992,1.78657
1.4158538076923715,4.449999999999992,1.81073
1.4264521313615757,4.499999999999992,1.83433
1.4365553556159756,4.549999999999992,1.86163
1.4461988264442753,4.599999999999992,1.90119
1.4576221854624696,4.6499999999999915,1.92022
1.4685986535001698,4.699999999999991,1.94427
1.4780185325911297,4.749999999999991,1.96953
1.488138653335024,4.799999999999991,1.98704
1.4987101408263552,4.849999999999991,2.00343
1.511064539409368,4.899999999999991,2.03578
1.5205248489194678,4.94999999999999,2.05215
1.531217531843433,4.99999999999999,2.0784
1.5423050537614333,5.04999999999999,2.08696
1.5525337373782322,5.09999999999999,2.11872
1.5630390031271324,5.14999999999999,2.1516
1.5744146462100461,5.1999999999999895,2.16779
1.5858990865049463,5.249999999999989,2.19369
1.597398545791272,5.299999999999989,2.22694
1.6103074847767744,5.349999999999989,2.25353
1.621692077606261,5.399999999999989,2.27643
1.6343331777431451,5.449999999999989,2.31082
1.6465852365283447,5.4999999999999885,2.34486
1.6605531008077448,5.549999999999988,2.39408
1.671677452153968,5.599999999999988,2.4208
1.6849662096024067,5.649999999999988,2.45221
1.6978265536071355,5.699999999999988,2.4869
1.7122263004324354,5.749999999999988,2.51162
1.7251223755788645,5.799999999999987,2.53656
1.7387024817131644,5.849999999999987,2.56815
1.753850531455851,5.899999999999987,2.59548
1.7664907423750302,5.949999999999987,2.63745
1.7792807365277066,5.999999999999987,2.67
1.793249504596238,6.0499999999999865,2.70386
1.8074097532487639,6.099999999999986,2.7264
1.8242843000449618,6.149999999999986,2.76014
1.837943357364864,6.199999999999986,2.81136
1.8536972663703637,6.249999999999986,2.85952
1.867882238556764,6.299999999999986,2.91937
1.884045672547864,6.349999999999985,2.96907
